Item,Classification,Source,Question,Answer,Prefix,definite-yes,probable-yes,definite-no,probable-no,DevEval,QuestionParse,AnswerParse
146,CNN,LarryKingLive/0206-07-lkl.00.txt,Did he do a good job?,He did a great job.,,30,0,0,0,DEVELOPMENT,(SQ (VBD Did) (NP (PRP he)) (VP (VB do) (NP (DT a) (JJ-CONTRAST good) (NN job))) (. ?)),(S (NP (PRP He)) (VP (VBD did) (NP (DT a) (JJ-CONTRAST great) (NN job))) (. .))
122,CNN,LouDobbsTonight/0804-08-ldt.01.txt,Do you think that's a good idea?,It's a terrible idea.,,0,0,29,1,DEVELOPMENT,(SQ (VBP Do) (NP (PRP you)) (VP (VB think) (SBAR (S (NP (DT that)) (VP (VBZ 's) (NP (DT a) (JJ-CONTRAST good) (NN idea)))))) (. ?)),(S (NP (PRP It)) (VP (VBZ 's) (NP (DT a) (JJ-CONTRAST terrible) (NN idea))) (. .))
1010,CNN,LarryKingLive/0604-18-lkl.01.txt,Is Peter an atheist?,I think he's an agnostic.,,1,3,9,17,DEVELOPMENT,(SQ (VBZ Is) (NP (NNP Peter)) (NP (DT an) (NN-CONTRAST atheist)) (. ?)),(S (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (PRP he)) (VP (VBZ 's) (NP (DT an) (NN-CONTRAST agnostic)))))) (. .))
1009,CNN,LarryKingLive/0602-15-lkl.01.txt,Is it a comedy?,I think it's a black comedy.,,14,16,0,0,DEVELOPMENT,(SQ (VBZ Is) (NP (PRP it)) (NP (DT a) (NN-CONTRAST comedy)) (. ?)),(S (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (PRP it)) (VP (VBZ 's) (NP (DT a) (JJ-CONTRAST black) (NN-CONTRAST comedy)))))) (. .))
91,CNN,LateEdition/0702-11-le.01.txt,Is the president right to support the new legislation?,The president's wrong on that one.,,1,1,27,1,DEVELOPMENT,(SQ (VBZ Is) (NP (DT the) (NN president)) (ADJP (JJ-CONTRAST right)) (S (VP (TO to) (VP (VB support) (NP (DT the) (JJ new) (NN legislation))))) (. ?)),(S (NP (DT The) (NN president)) (VP (VBZ 's) (ADJP (JJ-CONTRAST wrong) (PP (IN on) (NP (DT that) (NN one))))) (. .))
1003,CNN,AndersonCooper360/0810-01-acd.01.txt,Are his business ties an issue?,It's a blatant conflict of interest.,,22,7,1,0,DEVELOPMENT,(SQ (VBP Are) (NP (PRP$ his) (NN business) (NNS ties)) (NP (DT an) (NN-CONTRAST issue)) (. ?)),(S (NP (PRP It)) (VP (VBZ 's) (NP (DT a) (ADJP (JJ-CONTRAST blatant)) (NP-CONTRAST (NN conflict) (PP (IN of) (NP (NN interest)))))) (. .))
85,CNN,LateEdition/0509-18-le.01.txt,Is it a good idea to repopulate the region?,"Well, it's a terrific idea.",,29,1,0,0,DEVELOPMENT,(SQ (VBZ Is) (NP (PRP it)) (NP (NP (DT a) (JJ-CONTRAST good) (NN idea)) (S (VP (TO to) (VP (VB repopulate) (NP (DT the) (NN region)))))) (. ?)),"(S (INTJ (UH Well)) (, ,) (NP (PRP it)) (VP (VBZ 's) (NP (DT a) (JJ-CONTRAST terrific) (NN idea))) (. .))"
157,CNN,TheSituationRoom/0509-19-sitroom.03.txt,Is this hurricane season extraordinary?,Very unusual.,,13,17,0,0,DEVELOPMENT,(SQ (VBZ Is) (NP (DT this) (NN hurricane) (NN season)) (ADJP (JJ-CONTRAST extraordinary)) (. ?)),(FRAG (ADJP-CONTRAST (RB Very) (JJ unusual)) (. .))
133,CNN,TheSituationRoom/0806-25-sitroom.01.txt,Are you comfortable with the new measures?,"If the voters approve it, it's ok with me.",,10,20,0,0,DEVELOPMENT,(SQ (VBP Are) (NP (PRP you)) (ADJP (JJ-CONTRAST comfortable) (PP (IN with) (NP (DT the) (JJ new) (NNS measures)))) (. ?)),"(S (SBAR (IN If) (S (NP (DT the) (NNS voters)) (VP (VBP approve) (NP (PRP it))))) (, ,) (NP (PRP it)) (VP (VBZ 's) (ADJP (JJ-CONTRAST ok) (PP (IN with) (NP (PRP me))))) (. .))"
87,CNN,LateEdition/0104-15-le.00.txt,Is it a good idea?,I think it's a great idea.,,29,1,0,0,DEVELOPMENT,(SQ (VBZ Is) (NP (PRP it)) (NP (DT a) (JJ-CONTRAST good) (NN idea)) (. ?)),(S (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (PRP it)) (VP (VBZ 's) (NP (DT a) (JJ-CONTRAST great) (NN idea)))))) (. .))
1015,CNN,LateEdition/0802-24-le.01.txt,Is it a fun experience?,It's an awesome experience.,,26,4,0,0,DEVELOPMENT,(SQ (VBZ Is) (NP (PRP it)) (NP (DT a) (NN-CONTRAST fun) (NN experience)) (. ?)),(S (NP (PRP It)) (VP (VBZ 's) (NP (DT an) (JJ-CONTRAST awesome) (NN experience))) (. .))
